Geo Point;Geo Shape;nr;gebiet;realisiert
47.42283125565918,9.37337852509716;"{""coordinates"": [[[9.371962588696558, 47.42229447536967], [9.371916938598739, 47.422424550652394], [9.371875695857682, 47.42252925306568], [9.371875162654035, 47.422529172017136], [9.371787392262593, 47.42275513839794], [9.371786427081798, 47.42275776362665], [9.371836366042524, 47.42284394566133], [9.372612843087895, 47.423189082074664], [9.372604551974925, 47.423198046725595], [9.372692033715195, 47.42324915122826], [9.37291233495438, 47.42342648955218], [9.372912851831332, 47.423426121027354], [9.372914253218635, 47.42342674534407], [9.372915767962521, 47.42342720582033], [9.37291738281438, 47.423427502678], [9.372919043799268, 47.423427609829766], [9.372920711497931, 47.42342753693233], [9.372922346164257, 47.42342728465097], [9.372923895130393, 47.42342686286407], [9.372925318650285, 47.423426272236874], [9.372925861666939, 47.42342662302163], [9.372927538249252, 47.42342533540205], [9.373008959046812, 47.42350334270385], [9.373009346704613, 47.42350306630996], [9.373072491885347, 47.423552400649115], [9.373108470144016, 47.4235764587472], [9.373191914744439, 47.42361894851109], [9.373392230662843, 47.42371065569293], [9.373536419336855, 47.42377578094125], [9.373539941172607, 47.42377711648607], [9.373543726850777, 47.423778051752414], [9.373547683303158, 47.42377857930151], [9.373551716481023, 47.42377866472066], [9.373555707145396, 47.42377831000632], [9.373708232422793, 47.42374965634532], [9.373708377985494, 47.423750013781586], [9.373911408496525, 47.423711067479836], [9.37391249781781, 47.42371185895372], [9.373947571682859, 47.42368805974699], [9.373946482361541, 47.42368726827338], [9.374010991264957, 47.423535634806065], [9.374009780981208, 47.42353151652708], [9.374061122297627, 47.42337322994687], [9.37417963735886, 47.42310053902397], [9.374284169053945, 47.4228611185674], [9.37435528459314, 47.42280116899339], [9.37444006290098, 47.422612785449424], [9.374435400602612, 47.422611801919544], [9.374474782446933, 47.422519491352794], [9.374516982787705, 47.42242777232911], [9.374510435146322, 47.42242634355223], [9.37458420111071, 47.42225340298982], [9.374567123239466, 47.42224528602718], [9.374396263688833, 47.42216407263509], [9.373830442454205, 47.42188301401739], [9.37371155431125, 47.42197512625976], [9.373676530254317, 47.421997350142966], [9.37345349243876, 47.42213887128447], [9.373422524370445, 47.42215853505209], [9.373412456235089, 47.42216492043539], [9.373318439218252, 47.42219913500363], [9.373310281472301, 47.42219534895127], [9.373179776626053, 47.42231037211946], [9.373090925755966, 47.42240285353771], [9.372986646014816, 47.42261941667923], [9.37295134922733, 47.4226651626363], [9.372819916314267, 47.42277768176704], [9.372705527452446, 47.422714621039], [9.372679170349112, 47.422700307327155], [9.372658380753245, 47.42268890537944], [9.37263213485547, 47.42267546248964], [9.37254875813142, 47.42262894961673], [9.37254309166823, 47.422626597301864], [9.37253340681658, 47.42262128029691], [9.372516486052877, 47.42261200881059], [9.372507481306704, 47.422606437507774], [9.372502273825555, 47.422603582683955], [9.372474324113364, 47.42258848586212], [9.372468523250154, 47.42258535306751], [9.372463746728677, 47.42258304883451], [9.372459569981617, 47.42258083353003], [9.372454374848509, 47.42257649401872], [9.37245153307929, 47.42257125142982], [9.372451359659067, 47.42256574826516], [9.372453794042684, 47.4225605073546], [9.37198408929847, 47.422306117455584], [9.371962588696558, 47.42229447536967]]], ""type"": ""Polygon""}";2b;Bleicheli - Erweiterung;2012-04-25
47.42115683400792,9.370368424282155;"{""coordinates"": [[[9.37063023917744, 47.42092163563041], [9.370637124576428, 47.42092142155118], [9.370643549564944, 47.42092313149605], [9.370532972892324, 47.42087872737886], [9.37053860847372, 47.420881332216936], [9.370542106750994, 47.420885313314855], [9.370542779052142, 47.42088995794051], [9.370540446199096, 47.42089434691293], [9.370504913372008, 47.42093507584145], [9.370424065450015, 47.4210289778754], [9.370357655672947, 47.42110504967562], [9.370334294139356, 47.421133060483726], [9.37029728927468, 47.421175973187765], [9.370232089410859, 47.42125251950796], [9.370144731202073, 47.42135407848693], [9.370108557868393, 47.42139543876469], [9.370190319984587, 47.4214278912888], [9.370225595793034, 47.42138700482592], [9.370311767178567, 47.42128671618431], [9.370379515245183, 47.42120769807583], [9.370415933820205, 47.42116543392155], [9.370435400709724, 47.42114297627476], [9.370466417630944, 47.421105651697026], [9.370497606276334, 47.42106794637168], [9.370585502728737, 47.4209666390076], [9.370620230911147, 47.42092675121581], [9.370624501797788, 47.42092353091893], [9.37063023917744, 47.42092163563041]]], ""type"": ""Polygon""}";6;Gäbrisstrasse;2003-12-31
47.40217271583389,9.336020522503736;"{""coordinates"": [[[9.336991114278414, 47.403031167748566], [9.337043592281198, 47.403029738577665], [9.337150038271552, 47.403030760288345], [9.337198753929213, 47.403032334831174], [9.337185008462809, 47.40302925890636], [9.337173057372393, 47.40302373335152], [9.337163694221665, 47.40301608700396], [9.337157843307756, 47.40300697043734], [9.337031275395125, 47.40274818822889], [9.337842825272515, 47.402583009956025], [9.337833925759048, 47.402409095131546], [9.33878781256949, 47.40238640859112], [9.338827550277264, 47.402385467957814], [9.338817139575255, 47.40227902705661], [9.338816623133347, 47.402127898209244], [9.338828016431581, 47.402064319304806], [9.338831473587824, 47.40205499572741], [9.338832756186168, 47.402050355010935], [9.338833430723545, 47.4020456555624], [9.338833491939154, 47.40204093403446], [9.33883293935571, 47.40203622725209], [9.33883177728318, 47.402031571925214], [9.338830014785136, 47.402027004362346], [9.3388276656081, 47.402022560187625], [9.338824748074284, 47.402018274062684], [9.338821284938712, 47.40201417941661], [9.338817303211712, 47.40201030818498], [9.338812833948309, 47.402006690560874], [9.338807912005938, 47.402003354759415], [9.33880582642302, 47.40200210464833], [9.338803676882124, 47.40200090551634], [9.3388014660851, 47.401999758870645], [9.33879919681076, 47.401998666152586], [9.338796871911446, 47.401997628735515], [9.338794494309393, 47.40199664792349], [9.338794323518337, 47.40199657785871], [9.338764259476415, 47.401983740003224], [9.338763902428223, 47.40198357493683], [9.338735302335401, 47.40196931668987], [9.3387351174027, 47.40196922166648], [9.338478702638577, 47.40183141177814], [9.338478555590424, 47.4018313386233], [9.338475017933755, 47.40182947794572], [9.338471427825827, 47.401827664169254], [9.338467786615363, 47.401825897975236], [9.338464095670274, 47.40182418002729], [9.338460356377169, 47.40182251097073], [9.338456570140794, 47.40182089143262], [9.33845608318974, 47.401820688015974], [9.338452237160153, 47.401819121726554], [9.338448347043418, 47.40181760645629], [9.33844441430756, 47.40181614277696], [9.33844044043668, 47.401814731240925], [9.338436426930414, 47.40181337238085], [9.338432375303336, 47.40181206670955], [9.338432147470316, 47.40181199488325], [9.338428040423338, 47.401810740876684], [9.338423898133213, 47.401809541495524], [9.338419722175901, 47.40180839719602], [9.338415514140168, 47.401807308413645], [9.338411275626976, 47.401806275562556], [9.338407008248886, 47.40180529903571], [9.338406674340188, 47.401805225355076], [9.338402410308717, 47.40180431668774], [9.338398121170188, 47.40180346422856], [9.338393808531798, 47.40180266829699], [9.33838947400954, 47.401801929191286], [9.338385119227617, 47.40180124718839], [9.33838074581781, 47.40180062254387], [9.338380154601657, 47.40180054229852], [9.338375770417295, 47.40179998405695], [9.338371371166724, 47.401799483424575], [9.338366958492, 47.401799040588195], [9.33836253404016, 47.40179865571309], [9.338358099462667, 47.40179832894302], [9.338353656414744, 47.401798060399884], [9.338353162540157, 47.40179803433373], [9.338348708116426, 47.40179783037828], [9.3383442487169, 47.40179768493921], [9.338339786009048, 47.401797598070914], [9.338335321661555, 47.401797569805844], [9.338330857343742, 47.40179760015464], [9.3383263947249, 47.401797689105884], [9.338325833427927, 47.401797704634006], [9.33832137286403, 47.40179785967957], [9.338316917552431, 47.40179807328105], [9.338312469160554, 47.40179834535841], [9.338308029353216, 47.40179867580996], [9.338303599792022, 47.401799064511906], [9.33829918213475, 47.40179951131884], [9.338298718797876, 47.401799561223214], [9.338294315845129, 47.40180007202341], [9.338289928270905, 47.40180064055876], [9.338285557717407, 47.40180126661644], [9.338281205820472, 47.401801949962234], [9.338276874208958, 47.401802690340304], [9.338272564504114, 47.40180348747352], [9.338272039394978, 47.40180358877564], [9.338267738479775, 47.40180445293735], [9.33826346310142, 47.401805373660856], [9.338259214873439, 47.40180635059882], [9.338254995399105, 47.40180738338253], [9.338250806270842, 47.40180847162216], [9.338246649069623, 47.40180961490704], [9.338246389319455, 47.401809688453824], [9.338242258515967, 47.40181089253987], [9.338238163025405, 47.40181215100358], [9.33823410440049, 47.40181346336774], [9.338230084179944, 47.401814829134906], [9.33822610388795, 47.40181624778719], [9.338222165033537, 47.40181771878678], [9.338221987103934, 47.40181778289093], [9.338192144929193, 47.40182776253757], [9.33816086874355, 47.401835432884646], [9.338128495795775, 47.40184070111666], [9.338095480326581, 47.40184348509027], [9.338062229885848, 47.401843768207456], [9.338062143611001, 47.401843764227934], [9.338029198952762, 47.40184154929314], [9.338029033996444, 47.40184153131279], [9.33799657416838, 47.40183682257998], [9.337996499427796, 47.40183680761462], [9.337965041807713, 47.40182969554252], [9.337965007021948, 47.401829686218], [9.337964973560595, 47.40182967687164], [9.337934883908789, 47.40182023641888], [9.33793474835412, 47.40182018826549], [9.337906463990127, 47.40180856878751], [9.337906350917272, 47.40180851936477], [9.337886871310094, 47.40179866424363], [9.337868633462778, 47.40178777206496], [9.337832509365315, 47.4017654421105], [9.337794850698971, 47.40174429796139], [9.337755752411722, 47.401724401032894], [9.337715321732361, 47.40170578554796], [9.337673613557001, 47.40168850458356], [9.337630735113555, 47.401672592362836], [9.337004531910573, 47.401453115327506], [9.336962258343814, 47.401436689102624], [9.336922217447324, 47.40141784202109], [9.336884719269944, 47.401396721935974], [9.336850047692689, 47.401373486127454], [9.336832623889723, 47.40136014227952], [9.33681613534563, 47.4013462702433], [9.33680112155076, 47.40133510900019], [9.33678356453226, 47.40132583388896], [9.33676395034355, 47.40131869782906], [9.33674284289457, 47.40131390747703], [9.336603905545811, 47.4012912331692], [9.335927296276994, 47.401559107547556], [9.335591431363238, 47.40163494229802], [9.335268172099893, 47.40170793303025], [9.334959029109182, 47.40160281544784], [9.33475628705834, 47.40164859929288], [9.334659696731197, 47.40145202123878], [9.333837789188458, 47.40163758104242], [9.33344778684895, 47.40172561562617], [9.333215106968641, 47.40204174654171], [9.33313352002502, 47.40206114113031], [9.333171551136605, 47.402130791357386], [9.333369165103923, 47.40231805736572], [9.333681522640447, 47.402369748501734], [9.334200067562632, 47.40245557232021], [9.334939029224817, 47.40270712251943], [9.335589241184035, 47.402928213818065], [9.336144376465766, 47.40311688234552], [9.336239615545427, 47.40314924488062], [9.336323669880501, 47.40312655973822], [9.336412408916583, 47.403104814212284], [9.33651671142772, 47.403082129174], [9.33662449431805, 47.40306303056164], [9.336726767149841, 47.403049582401536], [9.33683201019878, 47.403039162250046], [9.336937510875048, 47.40303262438539], [9.336991114278414, 47.403031167748566]]], ""type"": ""Polygon""}";9;Wolfganghof;2003-12-31
47.416848543862976,9.365046020434406;"{""coordinates"": [[[9.365752033345778, 47.4172686928858], [9.365647398289488, 47.41721709563523], [9.365529711256233, 47.417153894097886], [9.36539716955509, 47.417079451177074], [9.365263809399613, 47.417002160760774], [9.365175894314806, 47.41694592085086], [9.365094146966946, 47.4168853945194], [9.365022516885986, 47.41682423162932], [9.364979234123698, 47.41678325016244], [9.364952476618717, 47.41675791399617], [9.364886491840151, 47.416689378472476], [9.3648308730987, 47.41662722970826], [9.364790722802795, 47.41658236510281], [9.364748829858012, 47.416538205194676], [9.364728682734944, 47.416519826704764], [9.36470262217584, 47.4164960515124], [9.364652625341224, 47.416459440044264], [9.364636260082106, 47.416431723662924], [9.364600832682338, 47.41641971859151], [9.364397822002413, 47.41635052466435], [9.36435586630853, 47.416407323662725], [9.364367800838163, 47.416411384767564], [9.364366663905752, 47.41641293317754], [9.36443890965832, 47.41643875562388], [9.364477613564533, 47.41645339619011], [9.364515149840148, 47.416469468707945], [9.364550255234757, 47.41648722815104], [9.364581926286643, 47.41650568360125], [9.364628881675044, 47.416539196901304], [9.364670647067818, 47.416576170505046], [9.364707748907634, 47.41661576793395], [9.364802820616395, 47.41672549204446], [9.36487050615438, 47.416796707310226], [9.364902588890047, 47.41682620212874], [9.364944066557161, 47.41686433382793], [9.365023134308167, 47.416930303036764], [9.365091443810021, 47.416979186624054], [9.365109133593974, 47.41699184714651], [9.365201362508953, 47.417049715585364], [9.365267127336304, 47.4170878677869], [9.36533599818806, 47.4171278215109], [9.36545340732129, 47.41719386367831], [9.365470505998552, 47.41720348227675], [9.365590129727142, 47.417267821166384], [9.365688370878315, 47.41731627904042], [9.36570812658257, 47.41732602423366], [9.365730432234937, 47.41735597158069], [9.36579050334809, 47.41728343589046], [9.365752033345778, 47.4172686928858]]], ""type"": ""Polygon""}";17;Tschudiwies;2018-12-04
47.42076710876426,9.356424360337067;"{""coordinates"": [[[9.356173031881859, 47.42058470563627], [9.356112107866007, 47.42063652869176], [9.356129107323973, 47.4206459127831], [9.356205253981347, 47.42068794725804], [9.356335825395416, 47.42076006711069], [9.3563870580102, 47.42078834854688], [9.356505113991444, 47.42085341549094], [9.356685374811036, 47.42095252840214], [9.35676843448275, 47.42092228802713], [9.356639879928595, 47.420852825220024], [9.35647880998304, 47.42076536849366], [9.356490351888555, 47.420753849970005], [9.356355043241097, 47.42068123310782], [9.356207540100398, 47.420602745603404], [9.356173031881859, 47.42058470563627]]], ""type"": ""Polygon""}";18;Metallstrasse;2019-04-15
47.427143010383155,9.376073320326684;"{""coordinates"": [[[9.377677072154992, 47.42770053059056], [9.377715563119311, 47.427632579438985], [9.377746734704349, 47.42756350951252], [9.377768585582674, 47.42749333640244], [9.377782512708166, 47.42743165429991], [9.377804395697268, 47.42729504795713], [9.377821302333679, 47.42718233074543], [9.377844872758683, 47.427023635808006], [9.377863465325524, 47.4268975209794], [9.377873362256572, 47.426827116556936], [9.377895591859415, 47.42668075176684], [9.37791845329525, 47.426526261207584], [9.377843149886335, 47.42652260348978], [9.37786385892613, 47.42642583682066], [9.377699139494446, 47.42641141662692], [9.377643335197014, 47.426433882346444], [9.377621723969694, 47.426527002389804], [9.377518550657484, 47.426527275823844], [9.377276105884167, 47.42651987194458], [9.377273671927655, 47.426557510579286], [9.377120797335369, 47.42655454177945], [9.377040567798518, 47.42655176688351], [9.377041634445613, 47.426537372039455], [9.377029912607261, 47.426536947858565], [9.37703033852678, 47.42653153361273], [9.376827781139223, 47.426524368469806], [9.376827381370587, 47.426529773279164], [9.376815592961073, 47.42652934119614], [9.376814269122589, 47.42654395627453], [9.376733623668128, 47.426541772935686], [9.376673316747889, 47.42653926647786], [9.376275217728695, 47.42652536577075], [9.37626941407129, 47.42652945766963], [9.376259852976295, 47.4265257493253], [9.376245924711668, 47.4265255329968], [9.376231803615017, 47.426534586644756], [9.376231461922215, 47.42654340927658], [9.376237172743641, 47.42655096984388], [9.376231732365332, 47.42655447985253], [9.376235253971032, 47.426640763484095], [9.376066631303685, 47.426643932242186], [9.376001374832855, 47.4265746528935], [9.376004243889478, 47.42657334524127], [9.375930159891547, 47.42650557235432], [9.375812852518017, 47.42658229341132], [9.375724233352397, 47.42653441312431], [9.37572761570169, 47.42653263803699], [9.375818575325427, 47.42644958408174], [9.37568643766501, 47.42640258615011], [9.37562283182768, 47.42637791224729], [9.375496613352636, 47.426324157236834], [9.375436243956432, 47.4262947866256], [9.375382401007844, 47.42626661115529], [9.37528486315791, 47.42621843915553], [9.375285757896382, 47.426217524478425], [9.375213684817828, 47.426184940072226], [9.375212664128194, 47.42618603679602], [9.375083306599503, 47.42612905909588], [9.375006340328092, 47.42610262941656], [9.375004229759732, 47.42610255681666], [9.37500229944814, 47.42610233724704], [9.375000337893583, 47.42610235211874], [9.374998411015483, 47.42610259133028], [9.374996558561886, 47.42610305421578], [9.374994872623768, 47.4261037212387], [9.37499336612336, 47.42610458318553], [9.374992103998876, 47.426105602981], [9.374990575252173, 47.42610658225946], [9.374927796603899, 47.426191358646015], [9.374880318613645, 47.426253224616474], [9.37479209819513, 47.42622209805933], [9.374878989255958, 47.426106625431025], [9.374880642130158, 47.42608063286622], [9.37457280284148, 47.42606561899476], [9.374505635239917, 47.42607421147665], [9.37438163780194, 47.42606361188126], [9.374340847710773, 47.426075721064834], [9.374310328042931, 47.42608225111882], [9.374285807066142, 47.42609697577801], [9.374269146936497, 47.426116418069924], [9.374259479546886, 47.42614258983469], [9.374239610888003, 47.42624805961818], [9.374235542334445, 47.42627689963764], [9.374225177566126, 47.42635024448626], [9.374215483271216, 47.42641359161628], [9.374200618605926, 47.42651084443632], [9.374200522079594, 47.42651183570466], [9.374191855351011, 47.426572088701796], [9.37418682877286, 47.426640935687594], [9.374183741842161, 47.426683281502164], [9.374182140722, 47.42672164382564], [9.374183687599732, 47.42678532449841], [9.374200209020305, 47.42685939763772], [9.374214042846967, 47.42691242720747], [9.374246971036612, 47.42696846581386], [9.374317112540014, 47.427055828903676], [9.374351661908412, 47.427093738700435], [9.374391992142048, 47.42713785844288], [9.374431905818577, 47.4271818232058], [9.374471610034483, 47.4272247658249], [9.374557904750224, 47.42732063911852], [9.374628900998756, 47.427353475896346], [9.374632514697737, 47.42735514275481], [9.374670002175668, 47.42737249046327], [9.374700207309914, 47.427386451386994], [9.374766319882452, 47.42743591506892], [9.374769740074226, 47.42743845785767], [9.374770816562036, 47.42743925853592], [9.374829993196956, 47.427480642260285], [9.37482549319626, 47.42748376757438], [9.374824432890696, 47.427484505084095], [9.37484634431642, 47.42749971152355], [9.374847456312308, 47.42749893716033], [9.374851891372982, 47.42749584892075], [9.374949500612386, 47.427563057401954], [9.374951091061389, 47.42756413736635], [9.375002561904457, 47.42759923536438], [9.375073521146767, 47.427647798961864], [9.375107803844866, 47.42767106616367], [9.375103426690403, 47.427674288395224], [9.375123639530644, 47.42768762491194], [9.375128559923466, 47.42768439357741], [9.375162435035445, 47.42770884617794], [9.375221850927213, 47.42774330713416], [9.375361589791323, 47.427826417496455], [9.37549486772998, 47.42790101700306], [9.375516416188715, 47.42791243273828], [9.37556873305581, 47.42794015690348], [9.375590795182033, 47.42795184291842], [9.37568707385689, 47.42800284280656], [9.375785075510304, 47.428053093991295], [9.375883323978941, 47.428099922160946], [9.375986562220682, 47.42814505617431], [9.37607002178391, 47.42817421939124], [9.376158179775084, 47.42819660114237], [9.376249768704835, 47.42820943364696], [9.376294936680152, 47.42821193325689], [9.376321120543697, 47.42821337461302], [9.37633753334711, 47.42821336035133], [9.376390178277374, 47.42821329642562], [9.376463897904069, 47.42820944233279], [9.376552038802553, 47.428201126868956], [9.376638895842053, 47.42819032274805], [9.376759348538819, 47.428173332167596], [9.37683241193594, 47.428163110085414], [9.376912471997748, 47.42815169999451], [9.376977323239384, 47.42814205638747], [9.377041330825724, 47.42813072649086], [9.377103180771485, 47.42811439451765], [9.377162281200022, 47.42809209873995], [9.377250183897425, 47.42806560412315], [9.377326571933786, 47.42801890675466], [9.377381316577589, 47.42798477211112], [9.377445469046929, 47.42794430778945], [9.377460191159308, 47.427932095024055], [9.377514152280883, 47.42788737518044], [9.377576948303789, 47.42782860697338], [9.377631274640656, 47.4277658962593], [9.377677072154992, 47.42770053059056]]], ""type"": ""Polygon""}";1d;Nördliche Altstadt;2017-06-30
